year,lost_to,gained_by,count
2019,BLACK DISCIPLES,MICKEY COBRAS,5
2019,BLACK DISCIPLES,multiple_gangs,72
2019,CONSERVATIVE VICE LORDS,MAFIA INSANE VICE LORDS,6
2019,CONSERVATIVE VICE LORDS,multiple_gangs,13
2019,FOUR CORNER HUSTLERS,MAFIA INSANE VICE LORDS,6
2019,FOUR CORNER HUSTLERS,TRAVELING VICE LORDS,8
2019,FOUR CORNER HUSTLERS,UNKNOWN VICE LORDS,1
2019,FOUR CORNER HUSTLERS,multiple_gangs,37
2019,GANGSTER DISCIPLES,BLACK DISCIPLES,3
2019,GANGSTER DISCIPLES,CONSERVATIVE VICE LORDS,1
2019,GANGSTER DISCIPLES,SIMON CITY ROYALS,1
2019,GANGSTER DISCIPLES,SPANISH GANGSTER DISCIPLES,15
2019,GANGSTER DISCIPLES,multiple_gangs,61
2019,MICKEY COBRAS,BLACK DISCIPLES,5
2019,MICKEY COBRAS,multiple_gangs,7
2019,PACHUCOS,SPANISH FOUR CORNER HUSTLERS,3
2019,PACHUCOS,multiple_gangs,7
2019,SPANISH COBRAS,LATIN KINGS,5
2019,SPANISH COBRAS,multiple_gangs,20
2019,TRAVELING VICE LORDS,MANIAC LATIN DISCIPLES,1
2019,TRAVELING VICE LORDS,multiple_gangs,11
2019,multiple_gangs,CONSERVATIVE VICE LORDS,6
2019,multiple_gangs,FOUR CORNER HUSTLERS,11
2019,multiple_gangs,GANGSTER DISCIPLES,39
2019,multiple_gangs,PACHUCOS,4
2019,multiple_gangs,TRAVELING VICE LORDS,7
2020,BLACK DISCIPLES,CONSERVATIVE VICE LORDS,3
2020,BLACK DISCIPLES,FOUR CORNER HUSTLERS,1
2020,BLACK DISCIPLES,GANGSTER DISCIPLES,6
2020,BLACK DISCIPLES,multiple_gangs,18
2020,BLACK P STONES,FOUR CORNER HUSTLERS,2
2020,BLACK P STONES,TRAVELING VICE LORDS,1
2020,BLACK P STONES,multiple_gangs,24
2020,BLACK SOULS,FOUR CORNER HUSTLERS,1
2020,BLACK SOULS,multiple_gangs,5
2020,CICERO INSANE VICE LORDS,FOUR CORNER HUSTLERS,1
2020,CICERO INSANE VICE LORDS,MAFIA INSANE VICE LORDS,4
2020,CICERO INSANE VICE LORDS,multiple_gangs,8
2020,CONSERVATIVE VICE LORDS,FOUR CORNER HUSTLERS,3
2020,CONSERVATIVE VICE LORDS,MAFIA INSANE VICE LORDS,9
2020,CONSERVATIVE VICE LORDS,TRAVELING VICE LORDS,5
2020,CONSERVATIVE VICE LORDS,UNKNOWN VICE LORDS,3
2020,CONSERVATIVE VICE LORDS,multiple_gangs,46
2020,FOUR CORNER HUSTLERS,BLACK P STONES,2
2020,FOUR CORNER HUSTLERS,CONSERVATIVE VICE LORDS,1
2020,FOUR CORNER HUSTLERS,MAFIA INSANE VICE LORDS,5
2020,FOUR CORNER HUSTLERS,MANIAC LATIN DISCIPLES,1
2020,FOUR CORNER HUSTLERS,TRAVELING VICE LORDS,7
2020,FOUR CORNER HUSTLERS,UNKNOWN VICE LORDS,9
2020,FOUR CORNER HUSTLERS,multiple_gangs,85
2020,GANGSTER DISCIPLES,BLACK DISCIPLES,8
2020,GANGSTER DISCIPLES,UNDERTAKER VICE LORDS,13
2020,GANGSTER DISCIPLES,multiple_gangs,43
2020,LATIN KINGS,multiple_gangs,12
2020,MAFIA INSANE VICE LORDS,CICERO INSANE VICE LORDS,2
2020,MAFIA INSANE VICE LORDS,CONSERVATIVE VICE LORDS,2
2020,MAFIA INSANE VICE LORDS,FOUR CORNER HUSTLERS,7
2020,MAFIA INSANE VICE LORDS,TRAVELING VICE LORDS,1
2020,MAFIA INSANE VICE LORDS,UNDERTAKER VICE LORDS,5
2020,MAFIA INSANE VICE LORDS,UNKNOWN VICE LORDS,3
2020,MAFIA INSANE VICE LORDS,multiple_gangs,26
2020,SATAN DISCIPLES,BLACK P STONES,7
2020,SATAN DISCIPLES,GANGSTER DISCIPLES,7
2020,SATAN DISCIPLES,LATIN KINGS,1
2020,SATAN DISCIPLES,multiple_gangs,29
2020,TRAVELING VICE LORDS,multiple_gangs,62
2020,TWO SIX,multiple_gangs,1
2020,UNKNOWN VICE LORDS,CONSERVATIVE VICE LORDS,2
2020,UNKNOWN VICE LORDS,FOUR CORNER HUSTLERS,9
2020,UNKNOWN VICE LORDS,MAFIA INSANE VICE LORDS,6
2020,UNKNOWN VICE LORDS,multiple_gangs,40
2020,multiple_gangs,BLACK DISCIPLES,10
2020,multiple_gangs,BLACK P STONES,23
2020,multiple_gangs,CICERO INSANE VICE LORDS,5
2020,multiple_gangs,CONSERVATIVE VICE LORDS,16
2020,multiple_gangs,FOUR CORNER HUSTLERS,65
2020,multiple_gangs,GANGSTER DISCIPLES,21
2020,multiple_gangs,MAFIA INSANE VICE LORDS,15
2020,multiple_gangs,TRAVELING VICE LORDS,62
2020,multiple_gangs,UNKNOWN VICE LORDS,31
2021,BLACK DISCIPLES,BLACK P STONES,3
2021,BLACK DISCIPLES,NEW BREED,1
2021,BLACK DISCIPLES,multiple_gangs,34
2021,BLACK P STONES,BLACK DISCIPLES,4
2021,BLACK P STONES,CONSERVATIVE VICE LORDS,10
2021,BLACK P STONES,GANGSTER DISCIPLES,4
2021,BLACK P STONES,TRAVELING VICE LORDS,4
2021,BLACK P STONES,UNKNOWN VICE LORDS,2
2021,BLACK P STONES,multiple_gangs,30
2021,CONSERVATIVE VICE LORDS,BLACK P STONES,25
2021,CONSERVATIVE VICE LORDS,TRAVELING VICE LORDS,4
2021,CONSERVATIVE VICE LORDS,UNKNOWN VICE LORDS,3
