year,region,trq_value,total_value,trq_share
1995,North America,0.0,113541.49333333333,0.0
1995,South America,0.0,71283.5703968254,0.0
1996,Eastern Europe,0.0,23194403.3,0.0
1996,Middle East,0.0,21011524.0,0.0
1996,North America,0.0,103904.355,0.0
1996,South America,0.0,64855.06555555556,0.0
1997,North America,0.0,91771.98409090909,0.0
1997,South America,0.0,58447.64642857143,0.0
1998,Eastern Europe,0.0,11380445.8,0.0
1998,North America,0.0,80980.74484848484,0.0
1998,South America,0.0,203556.74492063493,0.0
1999,North America,0.0,70532.9606060606,0.0
1999,South America,0.0,131960.62015873016,0.0
2000,North America,0.0,58952.84969696969,0.0
2000,South America,0.0,106481.23468253968,0.0
2000,Southern Africa,105.0,79037.2,0.0013284883573810814
2001,Central Asia,210.0,210.0,1.0
2001,Eastern Europe,9665.675,9675.675,0.9989664803747542
2001,Middle East,0.0,0.0,0.0
2001,North America,0.0,48161.19378787879,0.0
2001,South America,0.0,80936.16412698412,0.0
2001,Southern Africa,105.0,74849.0,0.0014028243530307687
2002,Central Asia,210.0,210.0,1.0
2002,Eastern Europe,6894.55,6904.55,0.9985516796894801
2002,Middle East,0.0,0.0,0.0
2002,North America,0.0,37160.899545454544,0.0
2002,South America,0.0,54073.55105879747,0.0
2002,Southern Africa,5.0,71118.5,7.030519485084753e-05
2003,Central America and the Caribbean,0.0,233142.9,0.0
2003,Central Asia,210.0,210.0,1.0
2003,Eastern Europe,4123.425,4133.425,0.9975806988151472
2003,North America,0.0,26369.243636363637,0.0
2003,South America,0.0,34468.172911532456,0.0
2003,South Asia,0.0,295206.0,0.0
2003,Southern Africa,3.35,63363.992,5.2869143724404236e-05
2004,Central America and the Caribbean,0.0,98034.0,0.0
2004,Central Asia,210.0,42778.0,0.004909065407452429
2004,Eastern Europe,1352.3,1362.3,0.9926594729501578
2004,North Africa,128531.0,128531.0,1.0
2004,North America,3288.92,237983.90606060607,0.013819926122073266
2004,South America,300.0,190138.6286554552,0.001577796169675871
2004,South Asia,162306.8,414980.3,0.39111928927710543
