reporter,trq_share
HND,1.0
United Arab Emirates,1.0
Cuba,1.0
Sri Lanka,1.0
EU_readonly,1.0
UK,1.0
USA,1.0
ISL,1.0
KOR,1.0
Albania,1.0
Brunei Darussalam,0.9845428735800662
Lao PDR,0.899340249936126
Armenia,0.8958922747613459
US,0.8567171439700231
Egypt,0.8257384995860618
Ecuador,0.6650271656365053
EFTA_Rev,0.5619883911296324
EFTA,0.5326999227375934
KHM,0.5004733831101325
AUS,0.48983847587414847
"Korea, Republic of",0.47464674117675953
US_Revision,0.3505390259860814
Canada,0.3106151897644621
Korea,0.3076108981068408
Malaysia,0.2890698414600112
JPN,0.27935457516375684
Mexico,0.27176683710218213
TPKM,0.2202259734015656
Iceland,0.19341795475483672
Pakistan,0.18647355573655341
Thailand,0.1540424087772245
GBR,0.12472865437141942
Peru,0.12324536583419679
Philippines,0.11561216441951139
EURev1,0.11214653600272552
Serbia_Rev1,0.10904241707373939
Mauritius,0.10025798826725123
United Kingdom,0.08703477241062593
MKD,0.08612868943174959
EU,0.08549168297858778
Australia,0.08037599058981952
Tunisia,0.07588171319074007
Panama,0.07386406234971109
Switzerland,0.07044874843020703
CHE,0.06990014265335236
VietNam,0.06548785222235264
Costa Rica,0.05405622661814981
Israel,0.05029714959580654
Norway,0.04577443334145747
FYROM,0.03443517328994559
Colombia,0.03220209615586633
SRB,0.031424278152116146
Nicaragua,0.026483120633908407
Montenegro,0.016008931518918006
ALB,0.015029738310994028
Japan,0.013883358301754693
Honduras,0.013651152586977841
EEC,0.013624959510264935
Chile,0.012546927876858453
Chinese Taipei,0.011845772071224512
El Salvador,0.011602503545564352
"Hong Kong, China",0.010788895635222033
MDA,0.01052250975764177
Turkey,0.01052116238414524
Kazakhstan,0.009898166617141466
Guatemala,0.009689104455853621
Viet Nam,0.009187371222469574
Jordan,0.007380666827948963
MEX,0.0072696212455846485
COL,0.006420941404545998
ISR,0.006080043440555841
NOR,0.005652583601581009
Moldova,0.005336637307912271
ARG,0.004035252707526181
Bosnia and Herzegovina,0.003808036463413767
CUB,0.002487049955518343
Uruguay,0.0013054874848910602
IND,0.001122732672147873
Ukraine,0.0006809132328989224
"Korea, Rep. of",0.0005873732671453283
IDN,0.0005777310204200137
Serbia,0.00048675621632750016
South Africa,0.00035596659269707836
Brazil,0.00018278633263936348
SACU,0.00017533393246586495
India,8.360552473589994e-05
China,1.7854699914658529e-06
UKR,8.904810846642468e-11
Turkey_update,0.0
CHN,0.0
XXK,0.0
Afghanistan,0.0
UnitedArabEmirates,0.0
SGP,0.0
CMR,0.0
SaudiArabia,0.0
Argentina,0.0
Australia_update2,0.0
Azerbaijan,0.0
Bhutan,0.0
Singapore,0.0
BIH,0.0
Brunei,0.0
Bahrain,0.0
Russia,0.0
Belarus,0.0
"Bolivia, Plurinational State of",0.0
UAE,0.0
Russian Federation,0.0
NewZealand,0.0
Republic of Korea,0.0
Qatar,0.0
HKG,0.0
Indonesia,0.0
Ghana,0.0
Georgia,0.0
Faroe Islands,0.0
Kenya,0.0
European Union,0.0
Kuwait,0.0
Kyrgyz Republic,0.0
MAR,0.0
MERCOSUR,0.0
"Macao, China",0.0
Dominican Republic,0.0
Maroc,0.0
Maroc desc,0.0
Côte d,0.0
Mongolia,0.0
Morocco,0.0
Myanmar,0.0
NZL,0.0
Namibia,0.0
Nepal,0.0
New Zealand,0.0
Chile_Rev1,0.0
Oman,0.0
PER,0.0
Cameroon,0.0
Cambodia,0.0
Paraguay,0.0
Zimbabwe,0.0
