country_pair,trq_products
ALB-GBR,7
ARG-MEX (1),18
AUS-GBR,5385
Albania  (2).xlsx-UNKNOWN,458
Albania (2).xlsx-UNKNOWN,668
Albania .xlsx-UNKNOWN,711
Albania.xlsx-UNKNOWN,977
Armenia (1).xlsx-UNKNOWN,1575
Armenia (4).xlsx-UNKNOWN,1460
Australia (13).xlsx-UNKNOWN,507
Australia (15).xlsx-UNKNOWN,220
Australia (5).xlsx-UNKNOWN,507
Australia (7).xlsx-UNKNOWN,220
Bosnia and Herzegovina (2).xlsx-UNKNOWN,2
Bosnia and Herzegovina (4).xlsx-UNKNOWN,2
Brazil (3).xlsx-UNKNOWN,9
Brazil (7).xlsx-UNKNOWN,9
Brunei Darussalam.xlsx-UNKNOWN,5386
CHE-IDN,183
COL-ISR (1),11
CUB-MEX,4
Canada (1).xlsx-UNKNOWN,26
Canada (10).xlsx-UNKNOWN,2
Canada (11).xlsx-UNKNOWN,55
Canada (12).xlsx-UNKNOWN,59
Canada (13).xlsx-UNKNOWN,29
Canada (14).xlsx-UNKNOWN,59
Canada (15).xlsx-UNKNOWN,39
Canada (16).xlsx-UNKNOWN,55
Canada (17).xlsx-UNKNOWN,4
Canada (18).xlsx-UNKNOWN,4
Canada (19).xlsx-UNKNOWN,2
Canada (2).xlsx-UNKNOWN,26
Canada (20).xlsx-UNKNOWN,55
Canada (21).xlsx-UNKNOWN,59
Canada (22).xlsx-UNKNOWN,29
Canada (23).xlsx-UNKNOWN,59
Canada (24).xlsx-UNKNOWN,55
Canada (7).xlsx-UNKNOWN,39
Canada (8).xlsx-UNKNOWN,4
Canada (9).xlsx-UNKNOWN,4
Chile (1).xlsx-UNKNOWN,5295
Chile (13).xlsx-UNKNOWN,1249
Chile (16).xlsx-UNKNOWN,500
Chile (2).xlsx-UNKNOWN,5458
Chile (20).xlsx-UNKNOWN,2
Chile (25).xlsx-UNKNOWN,28
Chile (26).xlsx-UNKNOWN,1103
Chile (29).xlsx-UNKNOWN,496
Chile (3).xlsx-UNKNOWN,5036
Chile (32).xlsx-UNKNOWN,2
Chile (37).xlsx-UNKNOWN,13
Chile (4).xlsx-UNKNOWN,5208
China (10).xlsx-UNKNOWN,584
China (11).xlsx-UNKNOWN,583
China (13).xlsx-UNKNOWN,5
China (19).xlsx-UNKNOWN,5
China (2).xlsx-UNKNOWN,34
China (3).xlsx-UNKNOWN,6
China (5).xlsx-UNKNOWN,34
China (6).xlsx-UNKNOWN,34
China (7).xlsx-UNKNOWN,34
China.xlsx-UNKNOWN,6
Chinese Taipei (1).xlsx-UNKNOWN,1
Chinese Taipei (3).xlsx-UNKNOWN,3
Chinese Taipei (4).xlsx-UNKNOWN,1
Chinese Taipei.xlsx-UNKNOWN,3
Colombia (10).xlsx-UNKNOWN,2
Colombia (11).xlsx-UNKNOWN,47
Colombia (3).xlsx-UNKNOWN,25
Colombia (4).xlsx-UNKNOWN,2
Colombia (5).xlsx-UNKNOWN,15
Colombia (6).xlsx-UNKNOWN,2
Colombia (7).xlsx-UNKNOWN,4
Colombia (8).xlsx-UNKNOWN,32
Colombia (9).xlsx-UNKNOWN,15
Costa Rica (1).xlsx-UNKNOWN,1
Costa Rica (10).xlsx-UNKNOWN,12
Costa Rica (11).xlsx-UNKNOWN,4
Costa Rica (2).xlsx-UNKNOWN,29
Costa Rica (4).xlsx-UNKNOWN,15
Costa Rica (5).xlsx-UNKNOWN,28
Costa Rica (6).xlsx-UNKNOWN,1
Costa Rica (7).xlsx-UNKNOWN,26
Costa Rica (8).xlsx-UNKNOWN,4
Costa Rica.xlsx-UNKNOWN,28
Cuba (2).xlsx-UNKNOWN,4516
Cuba.xlsx-UNKNOWN,4530
EEC-NZL,41
EFTA (2).xlsx-UNKNOWN,3419
EFTA (3).xlsx-UNKNOWN,16
EFTA (4).xlsx-UNKNOWN,5052
EFTA (7).xlsx-UNKNOWN,3399
EFTA (8).xlsx-UNKNOWN,14
EFTA_Rev (1).xlsx-UNKNOWN,3504
EFTA_Rev.xlsx-UNKNOWN,13
EU (11).xlsx-UNKNOWN,11
EU (19).xlsx-UNKNOWN,21
EU (23).xlsx-UNKNOWN,19
EU (24).xlsx-UNKNOWN,8
EU (26).xlsx-UNKNOWN,4
EURev1 (2).xlsx-UNKNOWN,6
EU_readonly (2).xlsx-UNKNOWN,32
Ecuador (2).xlsx-UNKNOWN,35
Ecuador-Iceland,5386
Ecuador-Norway,5386
Ecuador-Switzerland,3
Ecuador.xlsx-UNKNOWN,35
Egypt (5).xlsx-UNKNOWN,4853
Egypt (6).xlsx-UNKNOWN,4839
Egypt (7).xlsx-UNKNOWN,2
Egypt (8).xlsx-UNKNOWN,3
Egypt.xlsx-UNKNOWN,4923
El Salvador (4).xlsx-UNKNOWN,13
FYROM (2).xlsx-UNKNOWN,18
GBR-ALB,146
GBR-AUS,48
GBR-CMR,98
GBR-GEO,90
GBR-MAR,6
GBR-MDA,5386
GBR-MKD,131
GBR-NZL,29
GBR-SRB,151
GBR-UKR (1),215
Guatemala (4).xlsx-UNKNOWN,9
Guatemala (5).xlsx-UNKNOWN,20
Guatemala (7).xlsx-UNKNOWN,12
HND-PER (2),1123
Honduras (4).xlsx-UNKNOWN,3
Honduras (5).xlsx-UNKNOWN,18
Honduras (6).xlsx-UNKNOWN,12
Honduras (7).xlsx-UNKNOWN,8
"Hong Kong, China (5).xlsx-UNKNOWN",5386
IDN-AUS (2),9
IDN-CHE,3
IDN-ISL,3
IDN-NOR,3
IND-AUS,7
ISL-IDN,5611
ISR-COL,19
ISR-UKR (2),33
Iceland-Georgia (2),67
India (17).xlsx-UNKNOWN,79
India (19).xlsx-UNKNOWN,28
India-Brunei Darussalam (2),178
India-Cambodia (2),178
India-Indonesia (2),178
India-Lao PDR (2),178
India-Malaysia (2),178
India-Myanmar (2),178
India-Philippines (2),178
India-Singapore (2),178
India-Thailand (2),178
India-Viet Nam (2),178
Israel (3).xlsx-UNKNOWN,26
Israel (4).xlsx-UNKNOWN,59
JPN (2).xlsx-UNKNOWN,71
Japan (15).xlsx-UNKNOWN,70
Japan (17).xlsx-UNKNOWN,2494
Japan (18).xlsx-UNKNOWN,70
Japan (19).xlsx-UNKNOWN,534
Japan (20).xlsx-UNKNOWN,2431
Japan (21).xlsx-UNKNOWN,75
Japan (22).xlsx-UNKNOWN,2501
Japan (23).xlsx-UNKNOWN,2502
Japan (24).xlsx-UNKNOWN,2506
Japan (25).xlsx-UNKNOWN,45
Japan (26).xlsx-UNKNOWN,74
Japan (27).xlsx-UNKNOWN,537
Japan (28).xlsx-UNKNOWN,537
Japan (29).xlsx-UNKNOWN,31
Jordan (4).xlsx-UNKNOWN,167
KHM-KOR,5386
KOR-KHM,5612
Kazakhstan (2).xlsx-UNKNOWN,8
Korea (12).xlsx-UNKNOWN,7
Korea (14).xlsx-UNKNOWN,99
Korea (15).xlsx-UNKNOWN,102
Korea (17).xlsx-UNKNOWN,94
Korea (18).xlsx-UNKNOWN,89
Korea (20).xlsx-UNKNOWN,12
Korea (22).xlsx-UNKNOWN,81
"Korea, Rep. of (2).xlsx-UNKNOWN",2
"Korea, Republic of (2).xlsx-UNKNOWN",50
Lao PDR.xlsx-UNKNOWN,5386
MDA-GBR,32
MEX-ARG (1),56
MEX-CUB,54
MKD-GBR,84
Malaysia (12).xlsx-UNKNOWN,1
Malaysia (14).xlsx-UNKNOWN,16
Malaysia (15).xlsx-UNKNOWN,2216
Malaysia (16).xlsx-UNKNOWN,2347
Malaysia (17).xlsx-UNKNOWN,19
Malaysia (4).xlsx-UNKNOWN,15
Mauritius (2).xlsx-UNKNOWN,30
Mauritius (5).xlsx-UNKNOWN,71
Mexico (10).xlsx-UNKNOWN,2
Mexico (12).xlsx-UNKNOWN,17
Mexico (16).xlsx-UNKNOWN,3329
Mexico (17).xlsx-UNKNOWN,22
Moldova (3).xlsx-UNKNOWN,31
Montenegro (4).xlsx-UNKNOWN,18
NOR-IDN,11
Nicaragua (3).xlsx-UNKNOWN,12
Norway-Georgia (2),3
Pakistan (5).xlsx-UNKNOWN,5188
Pakistan (8).xlsx-UNKNOWN,33
Panama (15).xlsx-UNKNOWN,34
Panama (19).xlsx-UNKNOWN,17
Panama (21).xlsx-UNKNOWN,50
Panama (22).xlsx-UNKNOWN,31
Panama (4).xlsx-UNKNOWN,22
Panama(Panama-Guatemala) (2),39
Panama(Panama-Honduras) (2),18
Panama(Panama-Nicaragua) (2),45
Peru (12).xlsx-UNKNOWN,6
Peru (13).xlsx-UNKNOWN,2469
Peru (18).xlsx-UNKNOWN,2502
Philippines (4).xlsx-UNKNOWN,41
Philippines (5).xlsx-UNKNOWN,44
Philippines (6).xlsx-UNKNOWN,42
Philippines (7).xlsx-UNKNOWN,70
SACU-Paraguay (2),4
SACU-Uruguay (2),2
SRB-GBR,32
Serbia (3).xlsx-UNKNOWN,2
Serbia (4).xlsx-UNKNOWN,31
Serbia_Rev1 (2).xlsx-UNKNOWN,281
South Africa.xlsx-UNKNOWN,3
Sri Lanka (2).xlsx-UNKNOWN,4557
Switzerland (4).xlsx-UNKNOWN,160
Switzerland (5).xlsx-UNKNOWN,181
TPKM (2).xlsx-UNKNOWN,28
Thailand (10).xlsx-UNKNOWN,43
Thailand (11).xlsx-UNKNOWN,53
Thailand (13).xlsx-UNKNOWN,2526
Thailand (9).xlsx-UNKNOWN,4
Tunisia (5).xlsx-UNKNOWN,62
Turkey.xlsx-UNKNOWN,12
UK (4).xlsx-UNKNOWN,164
UKR-GBR (1),19
US (10).xlsx-UNKNOWN,86
US (6).xlsx-UNKNOWN,15
US (7).xlsx-UNKNOWN,16
US (8).xlsx-UNKNOWN,15
US (9).xlsx-UNKNOWN,24
USA (2).xlsx-UNKNOWN,793
USA (3).xlsx-UNKNOWN,888
US_Revision (2).xlsx-UNKNOWN,51
