year,region,trq_value,total_value,trq_share
2000,Southern Africa,105.0,79037.2,0.0013284883573810814
2001,Central Asia,210.0,210.0,1.0
2001,Eastern Europe,9665.675,9675.675,0.9989664803747542
2001,Middle East,0.0,0.0,0.0
2001,Southern Africa,105.0,74849.0,0.0014028243530307687
2002,Central Asia,210.0,210.0,1.0
2002,Eastern Europe,6894.55,6904.55,0.9985516796894801
2002,Middle East,0.0,0.0,0.0
2002,Southern Africa,5.0,71118.5,7.030519485084753e-05
2003,Central America and the Caribbean,0.0,189873.9,0.0
2003,Central Asia,210.0,210.0,1.0
2003,Eastern Europe,4123.425,4133.425,0.9975806988151472
2003,South Asia,0.0,295206.0,0.0
2003,Southern Africa,3.35,63363.992,5.2869143724404236e-05
2004,Central Asia,210.0,42778.0,0.004909065407452429
2004,Eastern Europe,1352.3,1362.3,0.9926594729501578
2004,North Africa,128531.0,128531.0,1.0
2004,North America,3288.92,222062.03,0.014810816599307861
2004,South America,300.0,119134.00666666667,0.0025181726728908805
2004,South Asia,162306.8,414980.3,0.39111928927710543
2004,Southeast Asia,0.0,44064.89,0.0
2004,Southern Africa,1.65,57018.913,2.893776666700047e-05
2005,Central Asia,210.0,210.0,1.0
2005,East Asia ,59923.5,59923.5,1.0
2005,Eastern Europe,1327.3,1337.3,0.9925222463172063
2005,Middle East,0.0,0.0,0.0
2005,North Africa,126628.75,157229.75,0.8053739829771401
2005,North America,121553.20498376623,147785.11498376622,0.8224996475261971
2005,South America,124.0,12771.006666666666,0.00970949301308015
2005,South Asia,228501.56666667,479467.56666667,0.4765735631614187
2005,Southeast Asia,0.0,43939.985,0.0
2005,Southern Africa,0.0,48602.3,0.0
2006,Central Asia,210.0,210.0,1.0
2006,East Asia ,78158.55,78158.55,1.0
2006,Eastern Europe,29604.0,29604.0,1.0
2006,North Africa,124195.75,124195.75,1.0
2006,North America,108705.3233008658,134823.2333008658,0.8062803467877351
2006,South America,124.0,12669.006666666666,0.009787665541786755
2006,South Asia,169550.1999999978,418806.1999999978,0.40484166662288834
2006,Southeast Asia,0.0,43815.08,0.0
2006,Southern Africa,0.0,43409.055,0.0
2007,Central Asia,210.0,210.0,1.0
2007,East Africa,0.0,19445.6,0.0
2007,East Asia ,111140.85,111140.85,1.0
2007,Eastern Europe,5385804.011795,13975766294.845352,0.0003853673493224792
2007,North Africa,303981.5,303981.5,1.0
2007,North America,95972.4249512987,121976.3349512987,0.7868118433761554
2007,South America,19026.627272727274,31469.633939393938,0.6046027516357472
2007,South Asia,52912.25,150787.25,0.3509066582220977
2007,Southeast Asia,38995.659237483,38995.659237483,1.0
2007,Southern Africa,0.0,36451.505,0.0
2008,Central America and the Caribbean,140.0,53004.15,0.002641302614983921
2008,Central Asia,210.0,210.0,1.0
2008,East Africa,0.0,18957.2,0.0
2008,East Asia,4980.0,112267.93555556,0.04435816847754771
2008,East Asia ,157157.825,173525.225,0.9056771140910493
2008,Eastern Europe,7286336.69114228,17848027588.273163,0.0004082432445325041
2008,North Africa,296070.02166666667,296070.02166666667,1.0
2008,North America,83119.35993506493,109015.26993506493,0.7624561218311441
2008,South America,104833.62727272727,117174.63393939394,0.8946785131579776
2008,South Asia,133516.0999999934,230601.0999999934,0.5789916006471661
2008,Southeast Asia,192022.214269381,293858.032047151,0.6534523250280599
2008,Southern Africa,0.0,33623.63,0.0
2009,Central America and the Caribbean,20240.20692312,374188.81804001913,0.054090891943637205
2009,Central Asia,210.0,210.0,1.0
2009,East Asia,2490.0,43553.715555582,0.0571707825207779
2009,East Asia ,137858.8,169836.5,0.8117147962893724
2009,Eastern Europe,5011942.1069634,4314736101.131221,0.0011615871723068738
2009,North Africa,288921.67916666664,288921.67916666664,1.0
2009,North America,78281.80325216451,164960.5132521645,0.47454873720294605
2009,South America,8399.14090909091,112967.64757575758,0.07434996735200966
2009,South Asia,34495.2,104145.2,0.33122217826649714
2009,Southeast Asia,100931.401845148,622257.379702279,0.16220201662122344
2009,Southern Africa,0.0,31367.78,0.0
2009,Western Europe,1163211.0,17144806.0,0.06784626201078041
2010,Central America and the Caribbean,21567.5869231,344373.6368499013,0.06262844949568672
2010,Central Asia,210.0,210.0,1.0
2010,East Asia,2490.0,30961.023333315,0.08042369831234501
2010,East Asia ,133329.75,164192.75,0.8120318954399631
2010,Eastern Europe,332105.0,24601212.85,0.01349953768641126
2010,North Africa,272845.11666666664,272845.11666666664,1.0
2010,North America,62836.2799025974,90361.6899025974,0.6953862856076489
2010,South America,138581.94787878788,490348.80954545457,0.2826191176180301
2010,South Asia,74879.75,1357137.1516666666,0.055174784588309315
2010,Southeast Asia,208113.996420885,1333088.5711883563,0.15611415544232426
2010,Southern Africa,0.0,28630.9,0.0
2011,Central America and the Caribbean,13286.85538466,227131.82860817076,0.05849843003545485
2011,Central Asia,210.0,210.0,1.0
2011,East Asia,7024.0,93690.171111123,0.07497051095860474
2011,East Asia ,137996.825,219074.425,0.6299084203918373
2011,Eastern Europe,26199.0,36375.8,0.7202315825356418
2011,North Africa,255790.71666666667,255790.71666666667,1.0
2011,North America,58048.4565530303,126320.1665530303,0.45953435731626474
2011,South America,418163609.3415152,13541114298.461515,0.030881033873927582
2011,South Asia,45601.5,1189762.0516666668,0.03832825222162665
2011,Southeast Asia,121039.012329992,1158691.2841435506,0.10446183033081005
2011,Southern Africa,0.0,26417.4,0.0
2012,Central America and the Caribbean,130160.25717943333,468379.9641627789,0.27789458802340644
2012,Central Asia,210.0,210.0,1.0
2012,East Asia,4757.0,35462.378888873,0.13414215709856397
2012,East Asia ,774811653.5319442,56366904187.203125,0.01374586141823003
2012,Eastern Europe,18368.0,26877.4,0.683399435957347
2012,Middle East,0.0,0.0,0.0
2012,North Africa,235864.21666666667,235864.21666666667,1.0
2012,North America,52251.40939393939,220016.26939393938,0.23748884361084763
2012,South America,88384.0591991342,490034.9607070707,0.1803627624274092
2012,South Asia,43832.0,1030642.5083333333,0.042528810567770345
2012,Southeast Asia,94321.588239069,968469.6942233202,0.09739240040413624
2013,Central America and the Caribbean,36330.51849816433,584653.137975623,0.062140295054191816
2013,Central Asia,210.0,210.0,1.0
2013,East Asia,4757.0,25712.57666667,0.1850067405405649
