year,sector,trq_value,total_value,trq_share
1990,Chemicals & Allied Industries,0.0,0.0,0.0
1990,Foodstuffs,0.0,0.0,0.0
1990,Footwear / Headgear,0.0,0.0,0.0
1990,Machinery / Electrical,0.0,0.0,0.0
1990,Metals,0.0,0.0,0.0
1990,Mineral Products,0.0,0.0,0.0
1990,Miscellaneous,0.0,0.0,0.0
1990,Plastics / Rubbers,0.0,0.0,0.0
1990,"Raw Hides, Skins, Leather, & Furs",0.0,0.0,0.0
1990,Stone / Glass,0.0,0.0,0.0
1990,Textiles,0.0,0.0,0.0
1990,Transportation,0.0,0.0,0.0
1990,Vegetable Products,0.0,0.0,0.0
1990,Wood & Wood Products,0.0,0.0,0.0
1991,Chemicals & Allied Industries,0.0,0.0,0.0
1991,Foodstuffs,0.0,0.0,0.0
1991,Footwear / Headgear,0.0,0.0,0.0
1991,Machinery / Electrical,0.0,0.0,0.0
1991,Metals,0.0,0.0,0.0
1991,Mineral Products,0.0,0.0,0.0
1991,Miscellaneous,0.0,0.0,0.0
1991,Plastics / Rubbers,0.0,0.0,0.0
1991,"Raw Hides, Skins, Leather, & Furs",0.0,0.0,0.0
1991,Stone / Glass,0.0,0.0,0.0
1991,Textiles,0.0,0.0,0.0
1991,Transportation,0.0,0.0,0.0
1991,Vegetable Products,0.0,0.0,0.0
1991,Wood & Wood Products,0.0,0.0,0.0
1992,Chemicals & Allied Industries,0.0,0.0,0.0
1992,Foodstuffs,0.0,0.0,0.0
1992,Footwear / Headgear,0.0,0.0,0.0
1992,Machinery / Electrical,0.0,0.0,0.0
1992,Metals,0.0,0.0,0.0
1992,Mineral Products,0.0,0.0,0.0
1992,Miscellaneous,0.0,0.0,0.0
1992,Plastics / Rubbers,0.0,0.0,0.0
1992,"Raw Hides, Skins, Leather, & Furs",0.0,0.0,0.0
1992,Stone / Glass,0.0,0.0,0.0
1992,Textiles,0.0,0.0,0.0
1992,Transportation,0.0,0.0,0.0
1992,Vegetable Products,0.0,0.0,0.0
1992,Wood & Wood Products,0.0,0.0,0.0
1993,Chemicals & Allied Industries,0.0,0.0,0.0
1993,Foodstuffs,0.0,0.0,0.0
1993,Footwear / Headgear,0.0,0.0,0.0
1993,Machinery / Electrical,0.0,0.0,0.0
1993,Metals,0.0,0.0,0.0
1993,Mineral Products,0.0,0.0,0.0
1993,Miscellaneous,0.0,0.0,0.0
1993,Plastics / Rubbers,0.0,0.0,0.0
1993,"Raw Hides, Skins, Leather, & Furs",0.0,0.0,0.0
1993,Stone / Glass,0.0,0.0,0.0
1993,Textiles,0.0,0.0,0.0
1993,Transportation,0.0,0.0,0.0
1993,Vegetable Products,0.0,0.0,0.0
1993,Wood & Wood Products,0.0,0.0,0.0
1994,Chemicals & Allied Industries,0.0,0.0,0.0
1994,Foodstuffs,0.0,0.0,0.0
1994,Footwear / Headgear,0.0,0.0,0.0
1994,Machinery / Electrical,0.0,0.0,0.0
1994,Metals,0.0,0.0,0.0
1994,Mineral Products,0.0,0.0,0.0
1994,Miscellaneous,0.0,0.0,0.0
1994,Plastics / Rubbers,0.0,0.0,0.0
1994,"Raw Hides, Skins, Leather, & Furs",0.0,0.0,0.0
1994,Stone / Glass,0.0,0.0,0.0
1994,Textiles,0.0,0.0,0.0
1994,Transportation,0.0,0.0,0.0
1994,Vegetable Products,0.0,0.0,0.0
1994,Wood & Wood Products,0.0,0.0,0.0
1995,Chemicals & Allied Industries,0.0,0.0,0.0
1995,Foodstuffs,0.0,0.0,0.0
1995,Footwear / Headgear,0.0,0.0,0.0
1995,Machinery / Electrical,0.0,0.0,0.0
1995,Metals,0.0,0.0,0.0
1995,Mineral Products,0.0,0.0,0.0
1995,Miscellaneous,0.0,0.0,0.0
1995,Plastics / Rubbers,0.0,0.0,0.0
1995,"Raw Hides, Skins, Leather, & Furs",0.0,0.0,0.0
